form,deprel,deps,misc,grafo,text,word_join,word_join_start,word_join_end,index_e,sentence,#sentence_original
bacia,obl,B=BACIA,"{'end_char': '13287', 'grafo': '#basin', 'start_char': '13282'}",#basin,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..", bacia,311,316,51.0,6,66
sedimentos,obl:agent,B=NÃOCONSOLID,"{'end_char': '13319', 'grafo': '#unconsolidated_earth_material', 'start_char': '13309'}",#unconsolidated_earth_material,"artigo, o autor propõe as bases que governam a sedimentação siliciclástica em bacias sedimentares: 1) sedimentos siliciclásticos devem ser trazidos até a margem    bacia por sistemas fluviais; 2) o preenchimento de uma bacia é alcançado      repetição de intervalos deposicionais e não-deposicionais; 3) em uma bacia sendo preenchida por sedimentos siliciclásticos, todos os pontos em uma superfície hiatal são diacrônicos..", sedimentos,338,348,55.0,6,66
bacia,nsubj,B=BACIA,"{'end_char': '15468', 'grafo': '#basin', 'start_char': '15463'}",#basin,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem.., bacia,63,68,11.0,7,83
bacia,nmod,B=BACIA,"{'end_char': '15535', 'grafo': '#basin', 'start_char': '15530'}",#basin,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem.., bacia,130,135,20.0,7,83
sedimentos,nmod,B=NÃOCONSOLID,"{'end_char': '15603', 'grafo': '#unconsolidated_earth_material', 'start_char': '15593'}",#unconsolidated_earth_material,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem.., sedimentos,193,203,30.0,7,83
sedimentos,nmod,B=NÃOCONSOLID,"{'end_char': '15682', 'grafo': '#unconsolidated_earth_material', 'start_char': '15672'}",#unconsolidated_earth_material,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem.., sedimentos,272,282,43.0,7,83
bacia,nmod,B=BACIA,"{'end_char': '15691', 'grafo': '#basin', 'start_char': '15686'}",#basin,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem.., bacia,286,291,44.0,7,83
bacia,nmod,B=BACIA,"{'end_char': '15728', 'grafo': '#basin', 'start_char': '15723'}",#basin,O tectonismo é responsável: 1)      gênese    depressão onde a bacia se instalará; 2)      modelamento    arcabouço estrutural    bacia; 3)      controle     principais sítios de acumulação de sedimentos; 4)      criação de barreiras e rotas preferenciais para entrada de sedimentos    bacia; 5)      controle    relevo    bacia de drenagem.., bacia,323,328,50.0,7,83
água,nmod,B=FLUIDODATERRA_o,"{'end_char': '15799', 'grafo': '#generic_earth_fluid', 'start_char': '15795'}",#generic_earth_fluid,"As flutuações climáticas controlam: 1) o volume de água e de sedimentos que entram    bacia; 2) o tipo de sedimento gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..", água,51,55,10.0,8,84
sedimentos,conj,B=NÃOCONSOLID,"{'end_char': '15815', 'grafo': '#unconsolidated_earth_material', 'start_char': '15805'}",#unconsolidated_earth_material,"As flutuações climáticas controlam: 1) o volume de água e de sedimentos que entram    bacia; 2) o tipo de sedimento gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..", sedimentos,61,71,13.0,8,84
bacia,obl,B=BACIA,"{'end_char': '15835', 'grafo': '#basin', 'start_char': '15830'}",#basin,"As flutuações climáticas controlam: 1) o volume de água e de sedimentos que entram    bacia; 2) o tipo de sedimento gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..", bacia,86,91,16.0,8,84
sedimento,nmod,B=NÃOCONSOLID,"{'end_char': '15859', 'grafo': '#unconsolidated_earth_material', 'start_char': '15850'}",#unconsolidated_earth_material,"As flutuações climáticas controlam: 1) o volume de água e de sedimentos que entram    bacia; 2) o tipo de sedimento gerado, seja detrítico, biológico ou quimico; 3) a precipitação pluviométrica e cobertura vegetal..", sedimento,106,115,23.0,8,84
bacia,nmod,B=BACIA,"{'end_char': '16879', 'grafo': '#basin', 'start_char': '16874'}",#basin,"Durante fases de nível (de base) baixo, fácies grossas             em canais fluviais     margens    bacia, em fan        adjacentes   falha de borda e em        progradantes de pequenas dimensões (fig. 4)..", bacia,101,106,16.0,9,94
falha,obl,B=ESTRUTURA_FÍSICA,"{'end_char': '16913', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_058', 'start_char': '16908'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,"Durante fases de nível (de base) baixo, fácies grossas             em canais fluviais     margens    bacia, em fan        adjacentes   falha de borda e em        progradantes de pequenas dimensões (fig. 4)..", falha,135,140,21.0,9,94
Formação,flat:name,B=UNIDADE_LITO,"{'end_char': '17460', 'grafo': '#formacao_319', 'start_char': '17452'}",#formacao_319,"2.2 - Estratigrafia de Sequências    Formação Pendência, Bacia Potiguar  Della Favera et al. (1992) analisam a seção sin-rift    Bacia Potiguar,    qual identificaram quatro sequências balizadas por discordâncias e suas concordâncias relativas dentro    Formação Pendência..", Formação Pendência,37,55,5.0,10,97
Bacia,conj,B=BACIA,"{'end_char': '17477', 'grafo': '#BASE_CD_BACIA_100', 'start_char': '17472'}",#BASE_CD_BACIA_100,"2.2 - Estratigrafia de Sequências    Formação Pendência, Bacia Potiguar  Della Favera et al. (1992) analisam a seção sin-rift    Bacia Potiguar,    qual identificaram quatro sequências balizadas por discordâncias e suas concordâncias relativas dentro    Formação Pendência..", Bacia Potiguar,57,71,8.0,10,97
Bacia,nmod,B=BACIA,"{'end_char': '17549', 'grafo': '#BASE_CD_BACIA_100', 'start_char': '17544'}",#BASE_CD_BACIA_100,"2.2 - Estratigrafia de Sequências    Formação Pendência, Bacia Potiguar  Della Favera et al. (1992) analisam a seção sin-rift    Bacia Potiguar,    qual identificaram quatro sequências balizadas por discordâncias e suas concordâncias relativas dentro    Formação Pendência..", Bacia Potiguar,129,143,21.0,10,97
discordâncias,obl:agent,B=ESTRUTURA_FÍSICA,"{'end_char': '17627', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_036', 'start_char': '17614'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,"2.2 - Estratigrafia de Sequências    Formação Pendência, Bacia Potiguar  Della Favera et al. (1992) analisam a seção sin-rift    Bacia Potiguar,    qual identificaram quatro sequências balizadas por discordâncias e suas concordâncias relativas dentro    Formação Pendência..", discordâncias,199,212,30.0,10,97
Formação,obl,B=UNIDADE_LITO,"{'end_char': '17677', 'grafo': '#formacao_319', 'start_char': '17669'}",#formacao_319,"2.2 - Estratigrafia de Sequências    Formação Pendência, Bacia Potiguar  Della Favera et al. (1992) analisam a seção sin-rift    Bacia Potiguar,    qual identificaram quatro sequências balizadas por discordâncias e suas concordâncias relativas dentro    Formação Pendência..", Formação Pendência,254,272,36.0,10,97
bacias,obl,B=BACIA,"{'end_char': '18612', 'grafo': '#basin', 'start_char': '18606'}",#basin,"O autor justifica a introdução de nomenclatura nova, pois a existente, criada para bacias marginais marinhas, não abrange, de modo claro, o empilhamento vertical de fácies em uma bacia tectonicamente ativa..", bacias,83,89,15.0,11,103
bacia,nmod,B=BACIA,"{'end_char': '18707', 'grafo': '#basin', 'start_char': '18702'}",#basin,"O autor justifica a introdução de nomenclatura nova, pois a existente, criada para bacias marginais marinhas, não abrange, de modo claro, o empilhamento vertical de fácies em uma bacia tectonicamente ativa..", bacia,179,184,33.0,11,103
Bacia,nmod,B=BACIA,"{'end_char': '20803', 'grafo': '#BASE_CD_BACIA_240', 'start_char': '20798'}",#BASE_CD_BACIA_240,"modelo proposto      autor, são discutidos conceitos, apresentada nova terminologia para +ifts intracontinentais, e é aplicado    pacote sin-rift    Bacia    Recôncavo, onde o autor interpreta sistemas deposicionais, áreas-fonte, principais vias de ingresso de sedimentos    bacia e sucessão vertical dentro    que se denominou de tectono-sequência    Cretáceo Inferior    Bacia    Recôncavo..", Bacia Recôncavo,149,167,20.0,12,119
sedimentos,nmod,B=NÃOCONSOLID,"{'end_char': '20920', 'grafo': '#unconsolidated_earth_material', 'start_char': '20910'}",#unconsolidated_earth_material,"modelo proposto      autor, são discutidos conceitos, apresentada nova terminologia para +ifts intracontinentais, e é aplicado    pacote sin-rift    Bacia    Recôncavo, onde o autor interpreta sistemas deposicionais, áreas-fonte, principais vias de ingresso de sedimentos    bacia e sucessão vertical dentro    que se denominou de tectono-sequência    Cretáceo Inferior    Bacia    Recôncavo..", sedimentos,261,271,37.0,12,119
bacia,nmod,B=BACIA,"{'end_char': '20929', 'grafo': '#basin', 'start_char': '20924'}",#basin,"modelo proposto      autor, são discutidos conceitos, apresentada nova terminologia para +ifts intracontinentais, e é aplicado    pacote sin-rift    Bacia    Recôncavo, onde o autor interpreta sistemas deposicionais, áreas-fonte, principais vias de ingresso de sedimentos    bacia e sucessão vertical dentro    que se denominou de tectono-sequência    Cretáceo Inferior    Bacia    Recôncavo..", bacia,275,280,38.0,12,119
Cretáceo,nmod,B=UNIDADE_CRONO,"{'end_char': '21009', 'grafo': '#LowerCretaceous', 'start_char': '21001'}",#LowerCretaceous,"modelo proposto      autor, são discutidos conceitos, apresentada nova terminologia para +ifts intracontinentais, e é aplicado    pacote sin-rift    Bacia    Recôncavo, onde o autor interpreta sistemas deposicionais, áreas-fonte, principais vias de ingresso de sedimentos    bacia e sucessão vertical dentro    que se denominou de tectono-sequência    Cretáceo Inferior    Bacia    Recôncavo..", Cretáceo Inferior,352,369,48.0,12,119
Bacia,nmod,B=BACIA,"{'end_char': '21027', 'grafo': '#BASE_CD_BACIA_240', 'start_char': '21022'}",#BASE_CD_BACIA_240,"modelo proposto      autor, são discutidos conceitos, apresentada nova terminologia para +ifts intracontinentais, e é aplicado    pacote sin-rift    Bacia    Recôncavo, onde o autor interpreta sistemas deposicionais, áreas-fonte, principais vias de ingresso de sedimentos    bacia e sucessão vertical dentro    que se denominou de tectono-sequência    Cretáceo Inferior    Bacia    Recôncavo..", Bacia Recôncavo,373,391,50.0,12,119
bacias,obl,B=BACIA,"{'end_char': '21359', 'grafo': '#basin', 'start_char': '21353'}",#basin,2.4 - Modelo de Prosser  Prosser (1993) reconhece a influência    tectonismo tanto    distribuição espacial como    evolução temporal de sistemas deposicionais presentes em bacias limitadas por falhamentos ativos.., bacias,173,179,24.0,13,121
falhamentos,obl:agent,B=ESTRUTURA_FÍSICA,"{'end_char': '21385', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_058', 'start_char': '21374'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,2.4 - Modelo de Prosser  Prosser (1993) reconhece a influência    tectonismo tanto    distribuição espacial como    evolução temporal de sistemas deposicionais presentes em bacias limitadas por falhamentos ativos.., falhamentos,194,205,27.0,13,121
discordâncias,nsubj,B=ESTRUTURA_FÍSICA,"{'end_char': '24145', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_036', 'start_char': '24132'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,"longo de margens divergentes, discordâncias regionais separam rochas depositadas sob diferentes regimes tectônicos (Uchupi e Emery, 1991)..", discordâncias,30,43,5.0,14,141
rochas,obj,B=ROCHA,"{'end_char': '24170', 'grafo': '#rock', 'start_char': '24164'}",#rock,"longo de margens divergentes, discordâncias regionais separam rochas depositadas sob diferentes regimes tectônicos (Uchupi e Emery, 1991)..", rochas,62,68,8.0,14,141
discordâncias,nsubj,B=ESTRUTURA_FÍSICA,"{'end_char': '24259', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_036', 'start_char': '24246'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,"As discordâncias    início    rift (rift onset unconformity, Falvey, 1974) e    separação continental (breakup unconformity, Falvey, 1974), reconhecidas em diferentes bacias rift    mundo, assinalam importantes mudangas de fases tectônicas, que resultam    evolução de placas litosféricas    longo    tempo geológico..", discordâncias,3,16,1.0,15,142
bacias,obl,B=BACIA,"{'end_char': '24416', 'grafo': '#basin', 'start_char': '24410'}",#basin,"As discordâncias    início    rift (rift onset unconformity, Falvey, 1974) e    separação continental (breakup unconformity, Falvey, 1974), reconhecidas em diferentes bacias rift    mundo, assinalam importantes mudangas de fases tectônicas, que resultam    evolução de placas litosféricas    longo    tempo geológico..", bacias,167,173,28.0,15,142
discordâncias,obl:agent,B=ESTRUTURA_FÍSICA,"{'end_char': '24604', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_036', 'start_char': '24591'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,"As sequências balizadas por discordâncias, conforme definidas por Sloss para bacias intracratônicas (Sloss, 1963; 1988), representam outro exemplo de discordâncias regionais que limitam pacotes sedimentares..", discordâncias,28,41,4.0,16,143
bacias,obl,B=BACIA,"{'end_char': '24646', 'grafo': '#basin', 'start_char': '24640'}",#basin,"As sequências balizadas por discordâncias, conforme definidas por Sloss para bacias intracratônicas (Sloss, 1963; 1988), representam outro exemplo de discordâncias regionais que limitam pacotes sedimentares..", bacias,77,83,11.0,16,143
discordâncias,nmod,B=ESTRUTURA_FÍSICA,"{'end_char': '24726', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_036', 'start_char': '24713'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,"As sequências balizadas por discordâncias, conforme definidas por Sloss para bacias intracratônicas (Sloss, 1963; 1988), representam outro exemplo de discordâncias regionais que limitam pacotes sedimentares..", discordâncias,150,163,25.0,16,143
bacias,nmod,B=BACIA,"{'end_char': '25042', 'grafo': '#basin', 'start_char': '25036'}",#basin,"A análise sismoestratigráfica de bacias marginais marinhas parte    reconhecimento     superfícies erosionais de caráter regional e de suas concordâncias relativas, ou seja, a superfície erosional é reconhecida em áreas mais rasas e traçada em direção    talude/planicie abissal     bacias..", bacias,33,39,4.0,17,147
bacias,nmod,B=BACIA,"{'end_char': '25292', 'grafo': '#basin', 'start_char': '25286'}",#basin,"A análise sismoestratigráfica de bacias marginais marinhas parte    reconhecimento     superfícies erosionais de caráter regional e de suas concordâncias relativas, ou seja, a superfície erosional é reconhecida em áreas mais rasas e traçada em direção    talude/planicie abissal     bacias..", bacias,283,289,40.0,17,147
bacias,nmod,B=BACIA,"{'end_char': '25509', 'grafo': '#basin', 'start_char': '25503'}",#basin,"a mesma metodologia para a análise de bacias    tipo rift,         , inicialmente, buscar as discordâncias    margem flexural    riff e           em direção    depocentro    bacia..", bacias,38,44,7.0,18,149
discordâncias,obj,B=ESTRUTURA_FÍSICA,"{'end_char': '25571', 'grafo': '#TEFR_CD_TIPO_EST_FISICA_ROCHA_036', 'start_char': '25558'}",#TEFR_CD_TIPO_EST_FISICA_ROCHA_036,"a mesma metodologia para a análise de bacias    tipo rift,         , inicialmente, buscar as discordâncias    margem flexural    riff e           em direção    depocentro    bacia..", discordâncias,93,106,16.0,18,149
bacia,nmod,B=BACIA,"{'end_char': '25644', 'grafo': '#basin', 'start_char': '25639'}",#basin,"a mesma metodologia para a análise de bacias    tipo rift,         , inicialmente, buscar as discordâncias    margem flexural    riff e           em direção    depocentro    bacia..", bacia,174,179,24.0,18,149
bacia,nmod,B=BACIA,"{'end_char': '25904', 'grafo': '#basin', 'start_char': '25899'}",#basin,"Qual superficie erosiva representa o limite entre padrões sísmicos diferentes, associados a importantes mudanças    binômio bacia de drenagem/bacia deposicional?", bacia,124,129,16.0,19,151
bacia,nmod,B=BACIA,"{'end_char': '25922', 'grafo': '#basin', 'start_char': '25917'}",#basin,"Qual superficie erosiva representa o limite entre padrões sísmicos diferentes, associados a importantes mudanças    binômio bacia de drenagem/bacia deposicional?", bacia,142,147,19.0,19,151
bacia,nmod,B=BACIA,"{'end_char': '26418', 'grafo': '#basin', 'start_char': '26413'}",#basin,"O intérprete deve ficar atento a essas peculiaridades, pois,       caso, a concordância relativa Finalizando, é importante observar que, durante fases de inundação    superfície de uma bacia, o aporte sedimentar é mínimo, e,     margens       bacia, erosões ou superfícies    tipo ravinamento são passíveis de ocorrer (Galloway, 1989, Swift et al. 1991)..", bacia,185,190,30.0,20,153
bacia,nmod,B=BACIA,"{'end_char': '26476', 'grafo': '#basin', 'start_char': '26471'}",#basin,"O intérprete deve ficar atento a essas peculiaridades, pois,       caso, a concordância relativa Finalizando, é importante observar que, durante fases de inundação    superfície de uma bacia, o aporte sedimentar é mínimo, e,     margens       bacia, erosões ou superfícies    tipo ravinamento são passíveis de ocorrer (Galloway, 1989, Swift et al. 1991)..", bacia,243,248,41.0,20,153
água,nmod,B=FLUIDODATERRA_o,"{'end_char': '27080', 'grafo': '#generic_earth_fluid', 'start_char': '27076'}",#generic_earth_fluid,"O Novo Dicionário Aurélio    Lingua Portuguesa (Ferreira, 1986) define eustasia como variação    nível     mares, causada      aumento    quantidade de água (degelo     pólos), ou por motivos tectônicos    fundo    mar, ou      acúmulo progressivo de sedimentos..", água,152,156,22.0,21,157
sedimentos,nmod,B=NÃOCONSOLID,"{'end_char': '27185', 'grafo': '#unconsolidated_earth_material', 'start_char': '27175'}",#unconsolidated_earth_material,"O Novo Dicionário Aurélio    Lingua Portuguesa (Ferreira, 1986) define eustasia como variação    nível     mares, causada      aumento    quantidade de água (degelo     pólos), ou por motivos tectônicos    fundo    mar, ou      acúmulo progressivo de sedimentos..", sedimentos,251,261,39.0,21,157
Formação,nmod,B=UNIDADE_LITO,"{'end_char': '30189', 'grafo': '#formacao_319', 'start_char': '30181'}",#formacao_319,"Della Fávera ef al. (1992), entretanto,    tentarem utilizar essa mesma terminologia para a análise    Formação Pendência (Bacia Potiguar), acabaram traduzindo esses termos de modo diferente..", Formação Pendência,103,121,18.0,22,180
Bacia,appos,B=BACIA,"{'end_char': '30206', 'grafo': '#BASE_CD_BACIA_100', 'start_char': '30201'}",#BASE_CD_BACIA_100,"Della Fávera ef al. (1992), entretanto,    tentarem utilizar essa mesma terminologia para a análise    Formação Pendência (Bacia Potiguar), acabaram traduzindo esses termos de modo diferente..", Bacia Potiguar,123,137,21.0,22,180
selo,conj,B=ELEMENTO_PETRO,"{'end_char': '34625', 'grafo': '#seal', 'start_char': '34621'}",#seal,"Condições variáveis dentro de cada um     sistemas de nível (de base) controlam o desenvolvimento de rocha-reservatório, gerador, selo e estrutura, elementos essenciais para a ocorrência de jazidas de petróleo..", selo,130,134,21.0,23,210
estrutura,conj,B=ESTRUTURA_FÍSICA,"{'end_char': '34637', 'grafo': '#geological_structure', 'start_char': '34628'}",#geological_structure,"Condições variáveis dentro de cada um     sistemas de nível (de base) controlam o desenvolvimento de rocha-reservatório, gerador, selo e estrutura, elementos essenciais para a ocorrência de jazidas de petróleo..", estrutura,137,146,23.0,23,210
petróleo,nmod,B=FLUIDODATERRA_i,"{'end_char': '34700', 'grafo': '#oil', 'start_char': '34692'}",#oil,"Condições variáveis dentro de cada um     sistemas de nível (de base) controlam o desenvolvimento de rocha-reservatório, gerador, selo e estrutura, elementos essenciais para a ocorrência de jazidas de petróleo..", petróleo,201,209,33.0,23,210
Formação,nmod,B=UNIDADE_LITO,"{'end_char': '36183', 'grafo': '#formacao_319', 'start_char': '36175'}",#formacao_319,"DELLA FÁVERA, J. C., ROSSETI, E. L., GUZZO, J. MATSUDA, N., SOARES, V. M., HASHIMOTO, A. T. ALVES, D. B., CASTRO, J. C., AZAMBUJA, N. C. RODRIGUES, R. Estratigrafa de seqliéncias de Formação Pendéncia, Bacia Potiguar..", Formação Pendéncia,182,200,48.0,24,234
Bacia,conj,B=BACIA,"{'end_char': '36200', 'grafo': '#BASE_CD_BACIA_100', 'start_char': '36195'}",#BASE_CD_BACIA_100,"DELLA FÁVERA, J. C., ROSSETI, E. L., GUZZO, J. MATSUDA, N., SOARES, V. M., HASHIMOTO, A. T. ALVES, D. B., CASTRO, J. C., AZAMBUJA, N. C. RODRIGUES, R. Estratigrafa de seqliéncias de Formação Pendéncia, Bacia Potiguar..", Bacia Potiguar,202,216,51.0,24,234
formações,obl,B=UNIDADE_LITO,"{'end_char': '424417', 'grafo': '#formacao_117', 'start_char': '424408'}",#formacao_117,"RESUMO - A abertura final    Oceano Atlântico é datada com razoável precisão a partir    análise sedimentológica e paleontológica de testemunhos contínuos obtidos     formações Muribeca e Riachuelo, depositadas     fases transicional e marinha    Bacia de Sergipe..", formações Muribeca,167,185,22.0,25,317
Riachuelo,conj,B=UNIDADE_LITO,"{'end_char': '424438', 'grafo': '#formacao_130', 'start_char': '424429'}",#formacao_130,"RESUMO - A abertura final    Oceano Atlântico é datada com razoável precisão a partir    análise sedimentológica e paleontológica de testemunhos contínuos obtidos     formações Muribeca e Riachuelo, depositadas     fases transicional e marinha    Bacia de Sergipe..", Riachuelo,188,197,25.0,25,317
Bacia,nmod,B=BACIA,"{'end_char': '424493', 'grafo': '#BASE_CD_BACIA_116', 'start_char': '424488'}",#BASE_CD_BACIA_116,"RESUMO - A abertura final    Oceano Atlântico é datada com razoável precisão a partir    análise sedimentológica e paleontológica de testemunhos contínuos obtidos     formações Muribeca e Riachuelo, depositadas     fases transicional e marinha    Bacia de Sergipe..", Bacia de Sergipe,247,263,32.0,25,317
