Relation,Ent1,Ent2,URI_1,URI_2,#Sentence
constituted_by,UNIDADE_LITO,ROCHA,#formacao_286,#shale,1277
constituted_by,UNIDADE_LITO,ROCHA,#formacao_286,#sandstone,1277
constituted_by,UNIDADE_LITO,ROCHA,#formacao_286,#shale,1277
constituted_by,UNIDADE_LITO,ROCHA,#grupo_032,#shale,1289
constituted_by,UNIDADE_LITO,ROCHA,#formacao_328,#sandstone,1300
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_328,#Aratu_Age,1300
located_in,UNIDADE_LITO,BACIA,#formacao_295,#BASE_CD_BACIA_266,1310
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0958,#BASE_CD_BACIA_240,1328
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0830,#BASE_CD_BACIA_240,1341
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,1522
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,1615
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,1615
located_in,POÇO,BACIA,#well,#basin,2043
located_in,POÇO,CAMPO,#well,#field,2043
located_in,CAMPO,BACIA,#field,#basin,2043
located_in,CAMPO,BACIA,#field,#basin,2055
located_in,CAMPO,BACIA,#field,#BASE_CD_BACIA_281,2071
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0682,#BASE_CD_BACIA_281,2071
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0684,#BASE_CD_BACIA_281,2071
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0683,#BASE_CD_BACIA_281,2071
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0682,#BASE_CD_BACIA_281,2078
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0881,#BASE_CD_BACIA_281,2089
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0575,#basin,2169
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2199
located_in,POÇO,BACIA,#well,#BASE_CD_BACIA_240,2205
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0575,#basin,2219
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2307
located_in,UNIDADE_LITO,BACIA,#formacao_025,#BASE_CD_BACIA_030,2478
constituted_by,UNIDADE_LITO,ROCHA,#formacao_025,#shale,2478
located_in,POÇO,BACIA,#well,#BASE_CD_BACIA_281,2725
located_in,POÇO,BACIA,#well,#BASE_CD_BACIA_316,2725
located_in,POÇO,BACIA,#well,#BASE_CD_BACIA_270,2725
located_in,POÇO,BACIA,#well,#BASE_CD_BACIA_100,2725
located_in,POÇO,BACIA,#well,#BASE_CD_BACIA_270,2726
constituted_by,UNIDADE_LITO,ROCHA,#formacao_103,#shale,2739
located_in,UNIDADE_LITO,BACIA,#formacao_103,#BASE_CD_BACIA_116,2739
located_in,UNIDADE_LITO,BACIA,#formacao_154,#BASE_CD_BACIA_116,2757
part_of,UNIDADE_LITO,UNIDADE_LITO,#formacao_154,#grupo_055,2757
located_in,UNIDADE_LITO,BACIA,#formacao_103,#BASE_CD_BACIA_116,2757
part_of,UNIDADE_LITO,UNIDADE_LITO,#formacao_103,#grupo_055,2757
located_in,UNIDADE_LITO,BACIA,#formacao_216,#BASE_CD_BACIA_116,2757
part_of,UNIDADE_LITO,UNIDADE_LITO,#formacao_216,#grupo_055,2757
located_in,UNIDADE_LITO,BACIA,#formacao_154,#BASE_CD_BACIA_116,2758
located_in,UNIDADE_LITO,BACIA,#formacao_103,#BASE_CD_BACIA_116,2758
located_in,UNIDADE_LITO,BACIA,#formacao_103,#BASE_CD_BACIA_116,2765
crosses,POÇO,UNIDADE_LITO,#well,#formacao_103,2792
located_in,UNIDADE_LITO,BACIA,#formacao_103,#BASE_CD_BACIA_116,2793
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_071,#formacao_335,2818
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_052,#formacao_335,2818
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_036,#formacao_295,2819
part_of,UNIDADE_LITO,UNIDADE_LITO,#membro_027,#formacao_295,2819
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_027,#Permian,2819
has_age,UNIDADE_LITO,UNIDADE_CRONO,#membro_027,#Permian,2819
located_in,UNIDADE_LITO,BACIA,#formacao_103,#BASE_CD_BACIA_116,2820
located_in,UNIDADE_LITO,BACIA,#formacao_295,#BASE_CD_BACIA_266,2825
located_in,UNIDADE_LITO,BACIA,#formacao_130,#BASE_CD_BACIA_116,2865
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2902
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2909
has_age,UNIDADE_LITO,UNIDADE_CRONO,#formacao_056,#Alagoas_Age,2916
constituted_by,UNIDADE_LITO,ROCHA,#formacao_319,#sandstone,2918
constituted_by,UNIDADE_LITO,ROCHA,#formacao_319,#siltstone,2918
constituted_by,UNIDADE_LITO,ROCHA,#formacao_319,#shale,2918
constituted_by,UNIDADE_LITO,ROCHA,#formacao_253,#sandstone,2920
located_in,UNIDADE_LITO,BACIA,#formacao_253,#basin,2920
located_in,UNIDADE_LITO,BACIA,#formacao_158,#basin,2921
constituted_by,UNIDADE_LITO,ROCHA,#formacao_253,#calciarenite,2922
located_in,UNIDADE_LITO,BACIA,#formacao_253,#basin,2922
located_in,UNIDADE_LITO,BACIA,#formacao_319,#basin,2923
located_in,UNIDADE_LITO,BACIA,#formacao_319,#basin,2923
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#gneiss,2933
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#granite,2933
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2936
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2939
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2939
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2943
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2944
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2946
constituted_by,UNIDADE_LITO,ROCHA,#SD_000,#diabase,2954
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,2964
located_in,UNIDADE_LITO,BACIA,#SD_000,#basin,3004
located_in,POÇO,CAMPO,#POCO_CD_POCO_010670,#CAMP_CD_CAMPO_0077,3093
located_in,POÇO,CAMPO,#POCO_CD_POCO_010726,#CAMP_CD_CAMPO_0077,3093
located_in,POÇO,CAMPO,#POCO_CD_POCO_006870,#CAMP_CD_CAMPO_0773,3093
located_in,POÇO,CAMPO,#POCO_CD_POCO_010669,#field,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010669,#CAMP_CD_CAMPO_0077,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010689,#field,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010689,#CAMP_CD_CAMPO_0077,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010526,#field,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010526,#CAMP_CD_CAMPO_0214,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010526,#CAMP_CD_CAMPO_0214,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010691,#field,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010691,#CAMP_CD_CAMPO_0214,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010691,#CAMP_CD_CAMPO_0214,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010746,#field,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_010491,#field,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_006838,#field,3094
located_in,POÇO,CAMPO,#POCO_CD_POCO_006870,#field,3097
located_in,POÇO,CAMPO,#POCO_CD_POCO_010683,#field,3097
located_in,POÇO,CAMPO,#POCO_CD_POCO_010691,#field,3097
located_in,POÇO,CAMPO,#POCO_CD_POCO_010526,#field,3097
located_in,POÇO,CAMPO,#POCO_CD_POCO_010643,#field,3097
located_in,POÇO,CAMPO,#POCO_CD_POCO_010643,#CAMP_CD_CAMPO_0199,3097
located_in,POÇO,CAMPO,#POCO_CD_POCO_007748,#CAMP_CD_CAMPO_0264,3125
located_in,POÇO,CAMPO,#POCO_CD_POCO_007746,#CAMP_CD_CAMPO_0264,3125
located_in,UNIDADE_LITO,BACIA,#formacao_153,#BASE_CD_BACIA_116,3149
located_in,UNIDADE_LITO,BACIA,#formacao_009,#BASE_CD_BACIA_116,3149
located_in,UNIDADE_LITO,BACIA,#formacao_126,#BASE_CD_BACIA_116,3149
located_in,POÇO,BACIA,#well,#BASE_CD_BACIA_281,3191
located_in,POÇO,BACIA,#well,#BASE_CD_BACIA_281,3202
located_in,POÇO,BACIA,#POCO_CD_POCO_025532,#basin,3214
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0750,#basin,3215
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0092,#basin,3215
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0634,#basin,3215
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0760,#basin,3232
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0760,#basin,3232
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0092,#basin,3232
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0092,#basin,3232
located_in,POÇO,CAMPO,#well,#field,3243
located_in,POÇO,BACIA,#POCO_CD_POCO_025532,#basin,3262
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0750,#basin,3272
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0092,#basin,3272
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0634,#basin,3272
located_in,UNIDADE_LITO,BACIA,#grupo_000,#basin,3272
located_in,POÇO,BACIA,#well,#BASE_CD_BACIA_281,3279
located_in,POÇO,BACIA,#POCO_CD_POCO_025532,#basin,3286
located_in,POÇO,BACIA,#POCO_CD_POCO_005665,#BASE_CD_BACIA_260,3330
located_in,CAMPO,BACIA,#field,#BASE_CD_BACIA_316,3339
located_in,CAMPO,BACIA,#field,#BASE_CD_BACIA_281,3339
located_in,CAMPO,BACIA,#field,#BASE_CD_BACIA_270,3339
located_in,CAMPO,BACIA,#CAMP_CD_CAMPO_0065,#BASE_CD_BACIA_281,3339
located_in,POÇO,CAMPO,#well,#field,3342
constituted_by,UNIDADE_LITO,FLUIDODATERRA_i,#grupo_000,#oil,3405
located_in,UNIDADE_LITO,BACIA,#grupo_000,#BASE_CD_BACIA_281,3405
constituted_by,UNIDADE_LITO,FLUIDODATERRA_i,#grupo_000,#oil,3405
